Label,平年平均気温,平年降水量,2024平均気温,2024降水量,2025平均気温,2025降水量,2026平均気温,2026降水量
1/1,7.3,9.2,10.0,6.5,6.8,0.0,6.0,0.0
1/2,7.1,11.0,8.6,0.0,6.7,25.5,7.0,0.0
1/3,6.9,13.4,8.6,0.0,7.3,0.0,7.5,0.0
1/4,6.8,14.8,9.7,16.5,7.4,2.5,11.9,0.0
1/5,6.6,15.0,8.3,40.5,9.0,4.5,4.9,0.0
1/6,6.6,17.4,7.6,2.5,7.2,1.0,4.8,0.0
2/1,6.8,13.4,9.3,33.0,7.2,7.0,6.5,0.0
2/2,7.2,13.1,7.7,3.0,4.6,0.0,5.9,2.5
2/3,7.6,15.9,10.6,20.0,9.0,15.5,9.1,25.5
2/4,8.0,19.9,14.5,110.5,7.1,1.5,8.6,3.0
2/5,8.5,24.9,9.0,75.0,5.7,0.0,13.1,66.0
2/6,8.9,23.6,9.3,7.0,10.2,0.0,13.9,0.0
3/1,9.4,32.2,9.3,44.5,10.8,61.5,12.5,37.5
3/2,9.8,32.0,8.5,11.0,8.8,2.0,10.4,6.0
3/3,10.3,31.3,10.4,87.5,12.0,36.0,9.0,9.5
3/4,10.9,32.9,12.3,0.0,9.3,35.5,13.1,29.0
3/5,11.5,34.0,9.4,23.0,16.1,4.0,11.8,32.0
3/6,12.2,41.6,15.6,267.0,15.8,31.0,15.1,126.5
4/1,13.2,36.4,15.4,50.0,12.2,10.5,15.5,156.5
4/2,14.0,38.2,16.7,93.5,14.9,6.0,15.9,118.5
4/3,14.8,39.0,16.6,0.0,15.4,55.0,19.3,9.5
4/4,15.6,38.8,18.4,16.0,18.1,0.0,17.6,1.0
4/5,16.3,36.9,18.4,44.0,18.8,60.5,17.6,29.5
4/6,17.0,33.7,20.1,6.5,16.9,15.5,18.1,43.5
5/1,17.8,32.9,18.1,32.5,18.2,41.0,18.7,138.0
5/2,18.4,35.8,18.7,66.0,18.0,61.5,19.6,0.0
5/3,18.9,37.6,19.5,131.0,19.8,11.0,19.6,0.0
5/4,19.4,35.7,20.0,79.0,22.4,100.0,21.1,0.0
5/5,19.9,33.0,21.4,0.0,21.8,77.0,20.3,60.0
5/6,20.5,35.6,21.3,100.5,19.8,23.0,23.6,2.5
6/1,20.9,28.3,20.5,9.0,21.4,53.5,21.4,147.0
6/2,21.5,33.5,22.1,16.5,21.9,41.0,21.3,19.0
6/3,22.1,43.1,23.9,0.5,24.0,100.0,21.8,14.0
6/4,22.6,53.1,22.7,162.0,27.5,0.0,23.3,74.5
6/5,23.3,57.4,25.6,87.0,27.2,3.5,23.4,81.0
6/6,24.1,59.8,25.8,158.5,27.5,5.0,23.0,158.0
7/1,24.8,62.4,28.4,26.5,27.8,1.5,23.9,122.5
7/2,25.4,58.0,30.3,27.0,29.0,2.0,24.4,15.5
7/3,25.9,48.8,26.4,70.0,27.1,97.0,27.3,0.0
7/4,26.3,40.6,28.8,50.0,26.6,138.5,28.8,6.5
7/5,26.7,37.8,30.7,0.0,29.1,0.0,30.3,0.0
7/6,27.1,41.0,30.8,0.0,29.3,0.0,28.0,52.5
8/1,27.4,26.2,29.8,0.0,30.7,0.0,28.8,3.0
8/2,27.6,25.9,29.1,95.0,30.5,52.0,28.7,12.0
8/3,27.6,31.7,30.5,0.0,27.9,29.0,27.6,6.0
8/4,27.5,34.7,30.4,7.5,28.8,53.5,27.7,10.5
8/5,27.2,34.1,28.2,227.5,29.3,0.0,,
8/6,26.8,43.2,25.5,741.0,29.3,0.0,,
9/1,26.4,42.8,27.1,44.0,28.6,242.5,,
9/2,25.8,47.9,28.5,0.0,28.1,0.0,,
9/3,25.0,49.9,28.6,41.0,27.5,159.5,,
9/4,24.1,49.4,29.4,2.0,27.1,2.0,,
9/5,23.2,46.5,26.2,50.5,24.5,2.5,,
9/6,22.4,47.2,25.1,7.5,25.9,0.5,,
10/1,21.7,51.7,24.9,163.5,22.9,7.5,,
10/2,20.9,51.1,22.5,52.0,24.3,0.0,,
10/3,20.0,43.3,21.8,0.0,20.9,70.5,,
10/4,19.0,35.0,23.0,2.5,21.7,5.0,,
10/5,18.1,30.5,21.3,33.5,15.7,39.0,,
10/6,17.2,31.6,19.4,74.5,17.3,59.5,,
11/1,16.4,21.6,19.4,76.0,15.7,0.5,,
11/2,15.6,20.6,16.0,3.0,16.1,10.5,,
11/3,14.7,22.1,18.4,11.0,14.2,0.0,,
11/4,13.8,23.6,15.9,15.0,13.9,0.0,,
11/5,13.0,23.9,13.1,0.0,12.8,0.0,,
11/6,12.2,22.4,13.4,133.0,12.2,7.5,,
12/1,11.3,19.8,12.2,0.0,11.1,0.0,,
12/2,10.3,16.5,9.8,0.0,9.8,0.0,,
12/3,9.5,13.3,8.4,0.0,10.7,20.5,,
12/4,8.9,10.9,8.8,0.0,10.7,21.0,,
12/5,8.4,10.1,8.2,0.0,11.9,23.0,,
12/6,7.8,10.9,8.4,0.0,8.4,0.0,,
